Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
GREAT PLAINS_GREAT PLAINS,-0.079047091,8.70948079883785e-27,11628,-7.31E-16,overall_sylls_freq_range_Hz,2.64034786322663e-26
GREAT PLAINS_MARINE WEST COAST FOREST,-0.0207513,8.43231988312907e-05,31671,-7.31E-16,overall_sylls_freq_range_Hz,0.000118464
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.044633771,1.29904368758062e-19,31518,-7.31E-16,overall_sylls_freq_range_Hz,3.28179457915103e-19
GREAT PLAINS_NORTH AMERICAN DESERTS,0.196994862,7.02305740363471e-185,22338,-7.31E-16,overall_sylls_freq_range_Hz,4.0452810644936e-183
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.033703464,1.13484026753378e-09,25398,-7.31E-16,overall_sylls_freq_range_Hz,1.88921385577878e-09
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,-0.000726384,0.919978079,13158,-7.31E-16,overall_sylls_freq_range_Hz,0.929662059
GREAT PLAINS_TEMPERATE SIERRAS,-0.2106368,2.16751959329095e-288,16983,-7.31E-16,overall_sylls_freq_range_Hz,6.24245642867794e-286
GREAT PLAINS_TROPICAL DRY FORESTS,-0.309269746,5.01278526111597e-78,1530,-7.31E-16,overall_sylls_freq_range_Hz,3.90184366270648e-77
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.036766166,2.17201619273527e-09,21321,-7.31E-16,overall_sylls_freq_range_Hz,3.57451807718718e-09
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.033024229,2.3058613677602e-14,42642,-7.31E-16,overall_sylls_freq_range_Hz,4.67667657686576e-14
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.187082002,1.05740049727541e-238,30222,-7.31E-16,overall_sylls_freq_range_Hz,1.01510447738439e-236
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.014271903,0.002818046,34362,-7.31E-16,overall_sylls_freq_range_Hz,0.00374008
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.069808735,3.60385173249645e-25,17802,-7.31E-16,overall_sylls_freq_range_Hz,1.01755813623429e-24
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.166029634,3.53475600278296e-209,22977,-7.31E-16,overall_sylls_freq_range_Hz,2.54502432200373e-207
