Recording_ID,Species,Latitude,Longitude,Recordist,Date,Source,Month
94100761,Pipilo erythrophthalmus,40.9909126,-96.2135947,Daniel Leger,6/6/97,ML,6
85217,Pipilo erythrophthalmus,44.2,-68.2333333,Wil Hershberger,7/17/97,ML,7
85249,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,7/27/97,ML,7
85263,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,8/3/97,ML,8
94294,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,4/28/98,ML,4
107184861,Pipilo erythrophthalmus,41.0341837,-96.3152504,Daniel Leger,5/8/98,ML,5
126678,Pipilo maculatus,34.2549,-116.7111,Richard E. Webster,5/17/98,XC,5
126986,Pipilo maculatus,32.9823,-116.6008,Richard E. Webster,5/19/98,XC,5
93781,Pipilo erythrophthalmus,42.34985948,-76.69878927,Matthew D. Medler,5/20/98,ML,5
126990,Pipilo maculatus,36.548,-117.4878,Richard E. Webster,5/23/98,XC,5
228179,Pipilo maculatus,32.4908,-108.4721,Peter Boesman,6/1/98,XC,6
288235,Pipilo maculatus,32.4908,-108.4721,Peter Boesman,6/1/98,ML,6
216505,Pipilo maculatus,30.5369444,-108.5938889,Hector Gomez de Silva,7/7/98,ML,7
216508,Pipilo maculatus,30.5369444,-108.5938889,Hector Gomez de Silva,7/8/98,ML,7
216513,Pipilo maculatus,29.9560051,-108.8399597,Hector Gomez de Silva,7/10/98,ML,7
228170,Pipilo erythrophthalmus,35.7832,-94.2443,Peter Boesman,4/15/99,XC,4
288415,Pipilo erythrophthalmus,35.78,-94.250275,Peter Boesman,4/15/99,ML,4
100773,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,4/20/99,ML,4
124891,Pipilo erythrophthalmus,36.1667,-86.7833,Thomas G. Graves,4/25/99,XC,4
438184761,Pipilo maculatus,47.5577099,-120.6697478,Steven Hopp,5/3/99,ML,5
108732721,Pipilo erythrophthalmus,29.0694,-80.9132,Daniel Leger,5/14/99,ML,5
109019,Pipilo maculatus,31.43276087,-110.2372618,Geoffrey A. Keller,5/19/99,ML,5
109047,Pipilo maculatus,31.43276087,-110.2372618,Geoffrey A. Keller,5/21/99,ML,5
93649351,Pipilo maculatus,49.0945304,-119.5261946,Scott  Connop,6/11/99,ML,6
348964,Pipilo maculatus,31.9204,-116.0709,Richard E. Webster,4/7/00,XC,4
107315,Pipilo erythrophthalmus,39.4166667,-77.2083333,Wil Hershberger,4/29/00,ML,4
103117,Pipilo erythrophthalmus,42.27736,-76.66451,Matthew D. Medler,5/4/00,ML,5
107338,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,5/17/00,ML,5
126631,Pipilo maculatus,36.1916,-117.0854,Richard E. Webster,5/20/00,XC,5
126685,Pipilo maculatus,34.186,-116.9004,Richard E. Webster,6/1/00,XC,6
107022,Pipilo maculatus,39.6333333,-120.2833333,Randolph Little,6/4/00,ML,6
107050,Pipilo maculatus,39.6333333,-120.2833333,Randolph Little,6/9/00,ML,6
205443,Pipilo maculatus,39.61661,-120.174866,Gregory Budney,6/10/00,ML,6
126654,Pipilo maculatus,36.1377,-118.0209,Richard E. Webster,6/15/00,XC,6
126671,Pipilo maculatus,36.135,-118.072,Richard E. Webster,6/15/00,XC,6
126629,Pipilo maculatus,34.2766,-116.7468,Richard E. Webster,7/9/00,XC,7
107448,Pipilo erythrophthalmus,39.71912,-77.9386,Wil Hershberger,7/30/00,ML,7
118621,Pipilo maculatus,32.02814612,-112.8317019,Geoffrey A. Keller,4/13/01,ML,4
118679,Pipilo maculatus,41.00133719,-123.5015419,Geoffrey A. Keller,5/6/01,ML,5
127014,Pipilo maculatus,32.7231,-116.9473,Richard E. Webster,5/13/01,XC,5
